country,freedom,gdp_per_capita,generosity,happiness_rank,happiness_score,healthy_life_expectancy,social_support,trust_government_corruption,year,continent,gdp_support
Panama,0.516,1.149,0.109,31,6.321,0.91,1.442,0.054,2019,America,1.656858
Brazil,0.39,1.004,0.099,32,6.3,0.802,1.439,0.086,2019,America,1.4447560000000002
Uruguay,0.523,1.124,0.127,33,6.293,0.891,1.465,0.15,2019,America,1.6466600000000002
Singapore,0.556,1.572,0.271,34,6.262,1.141,1.463,0.453,2019,Asia,2.2998360000000004
El Salvador,0.43,0.794,0.093,35,6.253,0.789,1.242,0.074,2019,America,0.986148
Italy,0.231,1.294,0.158,36,6.223,1.039,1.488,0.03,2019,Europe,1.925472
Bahrain,0.536,1.362,0.255,37,6.199,0.871,1.368,0.11,2019,Asia,1.8632160000000002
Slovakia,0.334,1.246,0.121,38,6.198,0.881,1.504,0.014,2019,Europe,1.873984
Trinidad & Tobago,0.489,1.231,0.185,39,6.192,0.713,1.477,0.016,2019,America,1.8181870000000002
Poland,0.483,1.206,0.117,40,6.182,0.884,1.438,0.05,2019,Europe,1.7342279999999999
Uzbekistan,0.631,0.745,0.322,41,6.174,0.756,1.529,0.24,2019,Asia,1.139105
Lithuania,0.291,1.238,0.043,42,6.149,0.818,1.515,0.042,2019,Europe,1.87557
Colombia,0.47,0.985,0.099,43,6.125,0.841,1.41,0.034,2019,America,1.38885
Slovenia,0.564,1.258,0.144,44,6.118,0.953,1.523,0.057,2019,Europe,1.9159339999999998
Nicaragua,0.435,0.694,0.2,45,6.105,0.835,1.325,0.127,2019,America,0.9195499999999999
Kosovo,0.489,0.882,0.262,46,6.1,0.758,1.232,0.006,2019,Europe,1.086624
Argentina,0.471,1.092,0.066,47,6.086,0.881,1.432,0.05,2019,America,1.563744
Romania,0.462,1.162,0.083,48,6.07,0.825,1.232,0.005,2019,Europe,1.431584
Cyprus,0.406,1.263,0.19,49,6.046,1.042,1.223,0.041,2019,Europe,1.544649
Ecuador,0.498,0.912,0.126,50,6.028,0.868,1.312,0.087,2019,America,1.196544
Kuwait,0.493,1.5,0.142,51,6.021,0.808,1.319,0.097,2019,Asia,1.9785
Thailand,0.557,1.05,0.359,52,6.008,0.828,1.409,0.028,2019,Asia,1.4794500000000002
Latvia,0.264,1.187,0.075,53,5.94,0.812,1.465,0.064,2019,Europe,1.7389550000000003
South Korea,0.159,1.301,0.175,54,5.895,1.036,1.219,0.056,2019,Asia,1.585919
Estonia,0.495,1.237,0.103,55,5.893,0.874,1.528,0.161,2019,Europe,1.8901360000000003
Jamaica,0.49,0.831,0.107,56,5.89,0.831,1.478,0.028,2019,America,1.228218
Mauritius,0.498,1.12,0.215,57,5.888,0.798,1.402,0.06,2019,Africa,1.57024
Japan,0.445,1.327,0.069,58,5.886,1.088,1.419,0.14,2019,Asia,1.883013
Honduras,0.507,0.642,0.246,59,5.86,0.828,1.236,0.078,2019,America,0.793512
Kazakhstan,0.41,1.173,0.146,60,5.809,0.729,1.508,0.096,2019,Asia,1.7688840000000001
Bolivia,0.511,0.776,0.137,61,5.779,0.706,1.209,0.064,2019,America,0.9381840000000001
Hungary,0.199,1.201,0.081,62,5.758,0.828,1.41,0.02,2019,Europe,1.69341
Paraguay,0.514,0.855,0.184,63,5.743,0.777,1.475,0.08,2019,America,1.261125
Northern Cyprus,0.417,1.263,0.191,64,5.718,1.042,1.252,0.162,2019,Europe,1.581276
Peru,0.455,0.96,0.083,65,5.697,0.854,1.274,0.027,2019,America,1.22304
Portugal,0.508,1.221,0.047,66,5.693,0.999,1.431,0.025,2019,Europe,1.747251
Pakistan,0.313,0.677,0.22,67,5.653,0.535,0.886,0.098,2019,Asia,0.5998220000000001
Russia,0.334,1.183,0.082,68,5.648,0.726,1.452,0.031,2019,Europe,1.717716
Philippines,0.558,0.807,0.117,69,5.631,0.657,1.293,0.107,2019,Asia,1.043451
Serbia,0.282,1.004,0.137,70,5.603,0.854,1.383,0.039,2019,Europe,1.388532
Moldova,0.245,0.685,0.181,71,5.529,0.739,1.328,0.0,2019,Europe,0.9096800000000002
Libya,0.416,1.044,0.133,72,5.525,0.673,1.303,0.152,2019,Africa,1.3603319999999999
Montenegro,0.197,1.051,0.142,73,5.523,0.871,1.361,0.08,2019,Europe,1.4304109999999999
Tajikistan,0.389,0.493,0.23,74,5.467,0.718,1.098,0.144,2019,Other,0.5413140000000001
Croatia,0.296,1.155,0.119,75,5.432,0.914,1.266,0.022,2019,Europe,1.4622300000000001
Hong Kong,0.44,1.438,0.258,76,5.43,1.122,1.277,0.287,2019,Asia,1.836326
Dominican Republic,0.497,1.015,0.113,77,5.425,0.779,1.401,0.101,2019,America,1.4220149999999998
Bosnia and Herzegovina,0.212,0.945,0.263,78,5.386,0.845,1.212,0.006,2019,Other,1.1453399999999998
Turkey,0.195,1.183,0.083,79,5.373,0.808,1.36,0.106,2019,Asia,1.60888
Malaysia,0.508,1.221,0.26,80,5.339,0.828,1.171,0.024,2019,Asia,1.4297910000000003
Belarus,0.235,1.067,0.094,81,5.323,0.789,1.465,0.142,2019,Europe,1.563155
Greece,0.067,1.181,0.0,82,5.287,0.999,1.156,0.034,2019,Europe,1.365236
Mongolia,0.317,0.948,0.235,83,5.285,0.667,1.531,0.038,2019,Other,1.451388
North Macedonia,0.345,0.983,0.185,84,5.274,0.838,1.294,0.034,2019,Europe,1.272002
Nigeria,0.426,0.696,0.215,85,5.265,0.245,1.111,0.041,2019,Africa,0.7732559999999999
Kyrgyzstan,0.508,0.551,0.3,86,5.261,0.723,1.438,0.023,2019,Asia,0.792338
Turkmenistan,0.394,1.052,0.244,87,5.247,0.657,1.538,0.028,2019,Asia,1.617976
Algeria,0.086,1.002,0.073,88,5.211,0.785,1.16,0.114,2019,Africa,1.16232
Morocco,0.418,0.801,0.036,89,5.208,0.782,0.782,0.076,2019,Africa,0.6263820000000001
Azerbaijan,0.351,1.043,0.035,90,5.208,0.769,1.147,0.182,2019,Asia,1.196321
Lebanon,0.216,0.987,0.166,91,5.197,0.815,1.224,0.027,2019,Asia,1.208088
